hex,count_good_aircraft,count_bad_aircraft
8401009ffffffff,1,0
840100dffffffff,1,0
8401043ffffffff,4,0
8401047ffffffff,3,0
8401055ffffffff,1,0
8401059ffffffff,5,0
840105bffffffff,2,0
840105dffffffff,4,0
8401069ffffffff,2,0
840106bffffffff,3,0
8401201ffffffff,2,0
8401207ffffffff,3,0
840120dffffffff,2,0
8401221ffffffff,4,0
8401223ffffffff,1,0
8401225ffffffff,5,0
8401227ffffffff,5,0
8401229ffffffff,3,0
840122bffffffff,4,0
8401231ffffffff,2,0
8401233ffffffff,3,0
8401239ffffffff,2,0
840123dffffffff,1,0
840124bffffffff,3,0
8401259ffffffff,2,0
8401261ffffffff,5,0
8401263ffffffff,2,0
8401265ffffffff,5,0
8401267ffffffff,6,0
8401269ffffffff,2,0
840126bffffffff,2,0
840126dffffffff,3,0
84012c1ffffffff,4,0
84012c3ffffffff,1,0
84012c9ffffffff,2,0
84012cbffffffff,3,0
8401301ffffffff,2,1
840130bffffffff,1,0
840134bffffffff,1,0
8401351ffffffff,6,0
8401355ffffffff,3,0
8401357ffffffff,1,0
8401359ffffffff,4,0
840135bffffffff,3,0
840135dffffffff,7,0
8403299ffffffff,1,0
8406281ffffffff,2,0
8406283ffffffff,5,0
8406289ffffffff,2,0
840628bffffffff,5,0
8406291ffffffff,4,0
8406293ffffffff,2,0
8406295ffffffff,4,0
8406297ffffffff,4,0
8406299ffffffff,8,0
840629bffffffff,2,0
840629dffffffff,8,0
84062b9ffffffff,5,0
84062c3ffffffff,4,0
84062cbffffffff,4,0
84062d1ffffffff,6,0
84062d3ffffffff,9,0
84062d5ffffffff,4,0
84062d7ffffffff,7,0
84062d9ffffffff,5,0
84062dbffffffff,6,0
84062ddffffffff,2,0
8406601ffffffff,5,0
8406603ffffffff,4,0
8406605ffffffff,15,0
8406607ffffffff,2,0
8406609ffffffff,14,0
840660bffffffff,7,0
840660dffffffff,12,0
8406621ffffffff,29,0
8406625ffffffff,10,0
8406627ffffffff,8,0
8406629ffffffff,31,0
840662bffffffff,7,0
840662dffffffff,23,0
8406639ffffffff,3,0
8406641ffffffff,10,0
8406643ffffffff,10,0
8406645ffffffff,29,0
8406647ffffffff,3,0
8406649ffffffff,7,0
840664bffffffff,2,0
840664dffffffff,28,0
8406655ffffffff,1,0
8406661ffffffff,33,0
8406663ffffffff,30,0
8406665ffffffff,12,0
8406667ffffffff,22,0
8406669ffffffff,32,0
840666bffffffff,37,0
840666dffffffff,16,0
8406703ffffffff,12,0
8406709ffffffff,2,0
840670bffffffff,1,0
8406715ffffffff,11,0
840671dffffffff,34,0
8406741ffffffff,1,0
8406743ffffffff,24,0
8406747ffffffff,1,0
8406749ffffffff,4,0
840674bffffffff,9,0
840674dffffffff,1,0
8406751ffffffff,27,0
8406753ffffffff,6,0
8406755ffffffff,2,0
8406757ffffffff,34,0
8406759ffffffff,27,0
840675bffffffff,13,0
840675dffffffff,15,0
8407401ffffffff,7,0
8407403ffffffff,13,0
8407405ffffffff,8,0
8407407ffffffff,8,0
8407409ffffffff,4,0
840740bffffffff,11,0
840740dffffffff,10,0
8407411ffffffff,40,0
8407413ffffffff,47,0
8407415ffffffff,40,0
8407417ffffffff,42,0
8407419ffffffff,27,0
840741bffffffff,45,0
840741dffffffff,33,0
8407421ffffffff,3,0
8407423ffffffff,9,0
8407427ffffffff,3,0
8407429ffffffff,3,0
840742bffffffff,8,0
840742dffffffff,3,0
8407431ffffffff,26,0
8407433ffffffff,55,0
8407435ffffffff,4,0
8407437ffffffff,29,0
8407439ffffffff,12,0
840743bffffffff,49,0
840743dffffffff,4,0
8407441ffffffff,5,0
8407443ffffffff,5,0
8407445ffffffff,1,0
8407447ffffffff,7,0
8407449ffffffff,4,0
840744bffffffff,7,0
840744dffffffff,1,0
8407451ffffffff,26,0
8407453ffffffff,25,0
8407455ffffffff,11,0
8407457ffffffff,32,0
8407459ffffffff,10,0
840745bffffffff,24,0
840745dffffffff,10,0
8407461ffffffff,5,0
8407463ffffffff,3,0
8407465ffffffff,3,0
8407467ffffffff,7,0
8407469ffffffff,5,0
840746bffffffff,1,0
8407481ffffffff,8,0
8407483ffffffff,2,0
8407485ffffffff,24,0
8407487ffffffff,6,0
8407489ffffffff,34,0
840748bffffffff,2,0
840748dffffffff,26,0
8407495ffffffff,1,0
84074a1ffffffff,43,0
84074a5ffffffff,46,0
84074a7ffffffff,28,0
84074a9ffffffff,43,0
84074abffffffff,7,0
84074adffffffff,29,0
84074b1ffffffff,1,0
84074b9ffffffff,19,0
84074bbffffffff,2,0
84074bdffffffff,10,0
84074c1ffffffff,10,0
84074c3ffffffff,36,0
84074c5ffffffff,59,0
84074c7ffffffff,5,0
84074c9ffffffff,18,0
84074cbffffffff,4,0
84074cdffffffff,51,0
84074d5ffffffff,12,0
84074ddffffffff,2,0
84074e1ffffffff,57,0
84074e3ffffffff,30,0
84074e5ffffffff,56,0
84074e7ffffffff,42,0
84074e9ffffffff,55,0
84074ebffffffff,35,0
84074edffffffff,39,0
8407511ffffffff,9,0
8407513ffffffff,2,0
8407515ffffffff,6,0
8407517ffffffff,10,0
8407519ffffffff,1,0
840751bffffffff,1,0
840752bffffffff,1,0
8407531ffffffff,3,0
8407533ffffffff,5,0
8407537ffffffff,2,0
8407539ffffffff,2,0
840753bffffffff,7,0
840753dffffffff,2,0
8407553ffffffff,1,0
840755bffffffff,4,0
8407581ffffffff,8,0
8407583ffffffff,26,0
8407585ffffffff,5,0
8407587ffffffff,23,0
8407589ffffffff,2,0
840758bffffffff,27,0
840758dffffffff,9,0
8407591ffffffff,39,0
8407593ffffffff,33,0
8407595ffffffff,29,0
8407597ffffffff,36,0
8407599ffffffff,19,0
840759bffffffff,40,0
840759dffffffff,32,0
84075a1ffffffff,3,0
84075a3ffffffff,9,0
84075a5ffffffff,2,0
84075a7ffffffff,2,0
84075a9ffffffff,5,0
84075abffffffff,10,0
84075adffffffff,7,0
84075b1ffffffff,14,0
84075b3ffffffff,50,0
84075b5ffffffff,12,0
84075b7ffffffff,29,0
84075b9ffffffff,8,0
84075bbffffffff,43,0
84075bdffffffff,18,0
84075c1ffffffff,4,0
84075c3ffffffff,9,0
84075c5ffffffff,7,0
84075c7ffffffff,10,0
84075c9ffffffff,3,0
84075cbffffffff,7,0
84075cdffffffff,4,0
84075d1ffffffff,81,0
84075d3ffffffff,12,0
84075d5ffffffff,16,0
84075d7ffffffff,50,0
84075d9ffffffff,65,0
84075dbffffffff,36,0
84075ddffffffff,37,0
84075e1ffffffff,6,0
84075e3ffffffff,5,0
84075e5ffffffff,4,0
84075e7ffffffff,8,0
84075e9ffffffff,6,0
84075ebffffffff,5,0
84075edffffffff,5,0
8407631ffffffff,1,0
8407633ffffffff,1,0
8407635ffffffff,4,0
8407637ffffffff,12,0
84076a1ffffffff,34,0
84076a3ffffffff,1,0
84076a5ffffffff,36,0
84076a7ffffffff,42,0
84076a9ffffffff,39,0
84076adffffffff,27,0
84076e1ffffffff,6,0
84076e3ffffffff,31,0
84076e5ffffffff,8,0
84076e7ffffffff,18,0
8407713ffffffff,4,0
8407717ffffffff,3,0
8408001ffffffff,5,0
8408005ffffffff,7,0
8408007ffffffff,11,0
8408009ffffffff,1,0
840800bffffffff,5,0
840800dffffffff,2,0
8408021ffffffff,22,0
8408023ffffffff,29,0
8408025ffffffff,43,0
8408027ffffffff,34,0
8408029ffffffff,15,0
840802bffffffff,17,0
840802dffffffff,20,0
8408031ffffffff,21,0
8408033ffffffff,27,0
8408035ffffffff,47,0
8408037ffffffff,48,0
8408039ffffffff,11,0
840803bffffffff,12,0
840803dffffffff,20,0
8408041ffffffff,1,0
8408043ffffffff,1,0
8408047ffffffff,1,0
840804bffffffff,2,0
8408051ffffffff,1,0
8408053ffffffff,5,0
8408055ffffffff,1,0
8408057ffffffff,4,0
840805bffffffff,2,0
8408061ffffffff,4,0
8408063ffffffff,3,0
8408065ffffffff,8,0
8408067ffffffff,3,0
840806bffffffff,2,0
840806dffffffff,4,0
8408101ffffffff,36,0
8408103ffffffff,4,0
8408105ffffffff,18,0
8408107ffffffff,5,0
8408109ffffffff,47,0
840810bffffffff,45,0
840810dffffffff,55,0
8408115ffffffff,1,0
8408117ffffffff,1,0
8408119ffffffff,34,0
840811dffffffff,4,0
8408121ffffffff,6,0
8408123ffffffff,7,0
8408125ffffffff,5,0
8408127ffffffff,6,0
8408129ffffffff,16,0
840812bffffffff,7,0
840812dffffffff,4,0
8408131ffffffff,8,0
8408133ffffffff,13,0
8408135ffffffff,6,0
8408137ffffffff,12,0
8408139ffffffff,5,0
840813bffffffff,3,0
840813dffffffff,6,0
8408141ffffffff,12,0
8408143ffffffff,36,0
8408145ffffffff,10,0
8408147ffffffff,35,0
8408149ffffffff,19,0
840814bffffffff,20,0
840814dffffffff,11,0
