date,suspect,num_bad_aircraft_hexes
2022-02-14,true,84
2022-02-15,true,158
2022-02-16,false,173
2022-02-17,false,159
2022-02-18,false,169
2022-02-19,false,173
2022-02-20,false,189
2022-02-21,false,158
2022-02-22,false,148
2022-02-23,false,148
2022-02-24,false,107
2022-02-25,false,117
2022-02-26,false,140
2022-02-27,false,131
2022-02-28,false,92
2022-03-01,false,135
2022-03-02,false,121
2022-03-03,false,114
2022-03-04,false,88
2022-03-05,false,182
2022-03-06,false,143
2022-03-07,false,152
2022-03-08,false,140
2022-03-09,false,125
2022-03-10,false,122
2022-03-11,false,67
2022-03-12,false,116
2022-03-13,false,126
2022-03-14,false,94
2022-03-15,false,101
2022-03-16,false,112
2022-03-17,false,100
2022-03-18,false,94
2022-03-19,false,102
2022-03-20,false,120
2022-03-21,false,98
2022-03-22,false,117
2022-03-23,false,110
2022-03-24,false,123
2022-03-25,false,120
2022-03-26,false,119
2022-03-27,false,107
2022-03-28,false,111
2022-03-29,false,139
2022-03-30,false,113
2022-03-31,false,113
2022-04-01,false,96
2022-04-02,false,116
2022-04-03,false,102
2022-04-04,false,104
2022-04-05,false,102
2022-04-06,false,109
2022-04-07,false,118
2022-04-08,false,111
2022-04-09,false,105
2022-04-10,false,93
2022-04-11,false,105
2022-04-12,false,118
2022-04-13,false,113
2022-04-14,false,95
2022-04-15,false,85
2022-04-16,false,85
2022-04-17,false,86
2022-04-18,false,107
2022-04-19,false,135
2022-04-20,false,138
2022-04-21,false,135
2022-04-22,false,124
2022-04-23,false,110
2022-04-24,false,110
2022-04-25,false,109
2022-04-26,false,96
2022-04-27,false,99
2022-04-28,false,125
2022-04-29,false,124
2022-04-30,false,127
2022-05-01,false,147
2022-05-02,false,112
2022-05-03,false,115
2022-05-04,false,116
2022-05-05,false,114
2022-05-06,false,101
2022-05-07,false,128
2022-05-08,false,114
2022-05-09,false,99
2022-05-10,false,80
2022-05-11,false,103
2022-05-12,false,101
2022-05-13,false,111
2022-05-14,false,121
2022-05-15,false,146
2022-05-16,false,116
2022-05-17,false,132
2022-05-18,false,135
2022-05-19,false,156
2022-05-20,false,121
2022-05-21,false,123
2022-05-22,false,134
2022-05-23,false,130
2022-05-24,false,105
2022-05-25,false,101
2022-05-26,false,89
2022-05-27,false,90
2022-05-28,false,98
2022-05-29,false,127
2022-05-30,false,143
2022-05-31,false,151
2022-06-01,false,141
2022-06-02,false,210
2022-06-03,false,166
2022-06-04,false,219
2022-06-05,false,219
2022-06-06,false,211
2022-06-07,false,211
2022-06-08,true,119
2022-06-09,true,127
2022-06-10,false,160
2022-06-11,false,194
2022-06-12,false,186
2022-06-13,false,151
2022-06-14,false,243
2022-06-15,false,245
2022-06-16,false,192
2022-06-17,false,183
2022-06-18,false,185
2022-06-19,false,133
2022-06-20,false,146
2022-06-21,false,122
2022-06-22,false,135
2022-06-23,false,125
2022-06-24,false,127
2022-06-25,false,103
2022-06-26,false,109
2022-06-27,false,116
2022-06-28,false,70
2022-06-29,false,89
2022-06-30,false,152
2022-07-01,false,181
2022-07-02,false,179
2022-07-03,false,186
2022-07-04,false,181
2022-07-05,false,134
2022-07-06,false,107
2022-07-07,false,113
2022-07-08,false,115
2022-07-09,false,125
2022-07-10,false,145
2022-07-11,false,105
2022-07-12,false,109
2022-07-13,false,119
2022-07-14,false,151
2022-07-15,false,121
2022-07-16,false,113
2022-07-17,false,106
2022-07-18,false,108
2022-07-19,false,103
2022-07-20,false,97
2022-07-21,false,111
2022-07-22,false,117
2022-07-23,false,127
2022-07-24,false,103
2022-07-25,false,107
2022-07-26,false,113
2022-07-27,false,106
2022-07-28,false,104
2022-07-29,false,128
2022-07-30,false,121
2022-07-31,false,133
2022-08-01,false,169
2022-08-02,false,181
2022-08-03,false,233
2022-08-04,false,220
2022-08-05,false,196
2022-08-06,false,183
2022-08-07,false,199
2022-08-08,false,170
2022-08-09,false,179
2022-08-10,false,162
2022-08-11,false,194
2022-08-12,false,166
2022-08-13,false,177
2022-08-14,false,171
2022-08-15,false,208
2022-08-16,false,181
2022-08-17,false,120
2022-08-18,false,157
2022-08-19,false,165
